[Algeria] (25 players)
  Godfried Roemeratoe            | # 6 | CM   | RKC Waalwijk
  Juninho Bacuna                 | # 7 | CM   | Volendam
  Livano Comenencia              | # 8 | CM   | Zürich
  Jürgen Locadia                 | # 9 | ST   | Miami FC
  Leandro Bacuna                 | #10 | CM   | Iğdır
  Jeremy Antonisse               | #11 | ST   | Kifisia
  Sontje Hansen                  | #12 | ST   | Middlesbrough
  Tyrese Noslin                  | #13 | ST   | Telstar
  Kenji Gorré                    | #14 | ST   | Maccabi Haifa
  Ar'jany Martha                 | #15 | CM   | Rotherham United
  Jearl Margaritha               | #16 | ST   | Beveren
  Brandley Kuwas                 | #17 | ST   | Volendam
  Armando Obispo                 | #18 | CB   | PSV Eindhoven
  Gervane Kastaneer              | #19 | ST   | Terengganu
  Joshua Brenet                  | #20 | CB   | Kayserispor
  Tahith Chong                   | #21 | CM   | Sheffield United
  Kevin Felida                   | #22 | CM   | Den Bosch
  Riechedly Bazoer               | #23 | CB   | Konyaspor
  Deveron Fonville               | #24 | CB   | NEC
  Tyrick Bodak                   | #25 | GK   | Telstar
  Trevor Doornbusch              | #26 | GK   | VVV-Venlo

[Czech Republic] (25 players)
  Matěj Kovář                    | # 1 | GK   | PSV Eindhoven
  David Zima                     | # 2 | CB   | Slavia Prague
  Tomáš Holeš                    | # 3 | CB   | Slavia Prague
  Robin Hranáč                   | # 4 | CB   | TSG Hoffenheim
  Vladimír Coufal                | # 5 | CB   | TSG Hoffenheim
  Štěpán Chaloupek               | # 6 | CB   | Slavia Prague
  Ladislav Krejčí                | # 7 | CB   | Wolverhampton Wanderers
  Vladimír Darida                | # 8 | CM   | Hradec Králové
  Adam Hložek                    | # 9 | ST   | TSG Hoffenheim
  Patrik Schick                  | #10 | ST   | Bayer Leverkusen
  Jan Kuchta                     | #11 | ST   | Sparta Prague
  Lukáš Červ                     | #12 | CM   | Viktoria Plzeň
  Mojmír Chytil                  | #13 | ST   | Slavia Prague
  David Jurásek                  | #14 | CB   | Slavia Prague
  Pavel Šulc                     | #15 | ST   | Lyon
  Jindřich Staněk                | #16 | GK   | Slavia Prague
  Lukáš Provod                   | #17 | CM   | Slavia Prague
  Michal Sadílek                 | #18 | CM   | Slavia Prague
  Tomáš Chorý                    | #19 | ST   | Slavia Prague
  Jaroslav Zelený                | #20 | CB   | Sparta Prague
  David Douděra                  | #21 | CB   | Slavia Prague
  Lukáš Horníček                 | #23 | GK   | Braga
  Alexandr Sojka                 | #24 | CM   | Viktoria Plzeň
  Hugo Sochůrek                  | #25 | CM   | Sparta Prague
  Denis Višinský                 | #26 | ST   | Viktoria Plzeň

[DR Congo] (22 players)
  Lionel Mpasi                   | # 1 | GK   | Le Havre
  Steve Kapuadi                  | # 3 | CB   | Widzew Łódź
  Dylan Batubinsika              | # 5 | CB   | AEL
  Ngal'ayel Mukau                | # 6 | CM   | Lille
  Nathanaël Mbuku                | # 7 | CM   | Montpellier
  Samuel Moutoussamy             | # 8 | CM   | Atromitos
  Brian Cipenga                  | # 9 | ST   | Castellón
  Théo Bongonda                  | #10 | CM   | Spartak Moscow
  Gaël Kakuta                    | #11 | ST   | AEL
  Joris Kayembe                  | #12 | CB   | Genk
  Meschak Elia                   | #13 | ST   | Alanyaspor
  Aaron Tshibola                 | #15 | CM   | Kilmarnock
  Timothy Fayulu                 | #16 | GK   | Noah
  Cédric Bakambu                 | #17 | ST   | Real Betis
  Charles Pickel                 | #18 | CM   | Espanyol
  Fiston Mayele                  | #19 | ST   | Pyramids
  Matthieu Epolo                 | #21 | GK   | Standard Liège
  Chancel Mbemba                 | #22 | CB   | Lille
  Simon Banza                    | #23 | ST   | Al Jazira
  Gédéon Kalulu                  | #24 | CB   | Aris Limassol
  Edo Kayembe                    | #25 | CM   | Watford
  Arthur Masuaku                 | #26 | CB   | Lens

[Ecuador] (24 players)
  Hernán Galíndez                | # 1 | GK   | Huracán
  Félix Torres                   | # 2 | CB   | Internacional
  Joel Ordóñez                   | # 4 | CB   | Club Brugge
  Jordy Alcívar                  | # 5 | CM   | Independiente del Valle
  Willian Pacho                  | # 6 | CB   | Paris Saint-Germain
  Pervis Estupiñán               | # 7 | CB   | Milan
  Anthony Valencia               | # 8 | CM   | Antwerp
  John Yeboah                    | # 9 | ST   | Venezia
  Kendry Páez                    | #10 | CM   | River Plate
  Kevin Rodríguez                | #11 | ST   | Union Saint-Gilloise
  Moisés Ramírez                 | #12 | GK   | Kifisia
  Enner Valencia                 | #13 | ST   | Pachuca
  Alan Minda                     | #14 | CM   | Atlético Mineiro
  Pedro Vite                     | #15 | CM   | UNAM
  Jordy Caicedo                  | #16 | ST   | Huracán
  Ángelo Preciado                | #17 | CB   | Atlético Mineiro
  Denil Castillo                 | #18 | CM   | Midtjylland
  Gonzalo Plata                  | #19 | ST   | Flamengo
  Alan Franco                    | #21 | CM   | Atlético Mineiro
  Gonzalo Valle                  | #22 | GK   | LDU Quito
  Moisés Caicedo                 | #23 | CM   | Chelsea
  Jeremy Arévalo                 | #24 | ST   | VfB Stuttgart
  Jackson Porozo                 | #25 | CB   | Tijuana
  Yaimar Medina                  | #26 | CB   | Genk

[Egypt] (24 players)
  Mohamed El Shenawy             | # 1 | GK   | Al Ahly
  Yasser Ibrahim                 | # 2 | CB   | Al Ahly
  Mohamed Hany                   | # 3 | CB   | Al Ahly
  Hossam Abdelmaguid             | # 4 | CB   | Zamalek
  Ramy Rabia                     | # 5 | CB   | Al Ain
  Mohamed Abdelmonem             | # 6 | CB   | Nice
  Trézéguet                      | # 7 | ST   | Al Ahly
  Emam Ashour                    | # 8 | CM   | Al Ahly
  Hamza Abdelkarim               | # 9 | ST   | Barcelona
  Mostafa Ziko                   | #11 | CM   | Pyramids
  Haissem Hassan                 | #12 | ST   | Oviedo
  Ahmed Fatouh                   | #13 | CB   | Zamalek
  Hamdy Fathy                    | #14 | CM   | Al-Wakrah
  Karim Hafez                    | #15 | CB   | Pyramids
  El Mahdy Soliman               | #16 | GK   | Zamalek
  Mohanad Lasheen                | #17 | CM   | Pyramids
  Nabil Emad                     | #18 | CM   | Al-Najma
  Marwan Attia                   | #19 | CM   | Al Ahly
  Ibrahim Adel                   | #20 | ST   | Nordsjælland
  Mahmoud Saber                  | #21 | CM   | ZED
  Mostafa Shobeir                | #23 | GK   | Al Ahly
  Tarek Alaa                     | #24 | CB   | ZED
  Zizo                           | #25 | ST   | Al Ahly
  Mohamed Alaa                   | #26 | GK   | El Gouna

